연번,Station 스테이션/성명,위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명,거치대
45,청솔아파트(9동),대전광역시 서구 둔산동 2161,36.3562828,127.387877,30,대전광역시,30170,서구,3017011200,둔산동,3017066000,둔산3동,13
46,경성큰마을,대전광역시 서구 갈마동 1438,36.3470359,127.377212,30,대전광역시,30170,서구,3017011100,갈마동,3017058200,갈마2동,13
47,오페라웨딩홀,대전광역시 서구 둔산동 1257,36.3486933,127.3825854,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,12
48,대전종합고용지원센터(탄방역 4번출구),대전광역시 서구 탄방동 1453-1,36.3463317,127.3849681,30,대전광역시,30170,서구,3017010600,탄방동,3017055500,탄방동,12
49,한국농어촌공사,대전광역시 서구 탄방동 735,36.3474022,127.3898661,30,대전광역시,30170,서구,3017010600,탄방동,3017055500,탄방동,12
50,한가람아파트,대전광역시 서구 탄방동 1447,36.3476475,127.3952117,30,대전광역시,30170,서구,3017010600,탄방동,3017055500,탄방동,12
51,남선공원종합체육관,대전광역시 서구 탄방동 1458,36.3488715,127.3986315,30,대전광역시,30170,서구,3017010600,탄방동,3017055500,탄방동,10
52,유승기업사,대전광역시 서구 탄방동 521-2,36.3434679,127.3811951,30,대전광역시,30170,서구,3017010600,탄방동,3017055500,탄방동,12
53,탄방지하차도,대전광역시 서구 탄방동 1452,36.343388,127.3833625,30,대전광역시,30170,서구,3017010600,탄방동,3017055500,탄방동,12
54,궁동네거리,대전광역시 유성구 장대동 312-3,36.3647782,127.3387212,30,대전광역시,30200,유성구,3020011700,장대동,3020054000,온천2동,13
55,충대정문오거리1(정문),대전광역시 유성구 궁동 258-8,36.3625121,127.3440365,30,대전광역시,30200,유성구,3020012200,궁동,3020054000,온천2동,20
56,충대정문오거리2(건너편),대전광역시 유성구 궁동 376-1,36.3617967,127.3450565,30,대전광역시,30200,유성구,3020012200,궁동,3020054000,온천2동,18
57,한진오피스텔,대전광역시 유성구 봉명동 535-5,36.3565711,127.3419092,30,대전광역시,30200,유성구,3020011100,봉명동,3020053000,온천1동,13
58,구암역 3번출구,대전광역시 유성구 구암동 96-9,36.3563987,127.3311397,30,대전광역시,30200,유성구,3020011200,구암동,3020053000,온천1동,13
59,유성온천역 6번출구,대전광역시 유성구 봉명동 552-5,36.3542559,127.3412636,30,대전광역시,30200,유성구,3020011100,봉명동,3020053000,온천1동,10
60,유성온천역 3번출구,대전광역시 유성구 봉명동 326-95,36.3532446,127.3417278,30,대전광역시,30200,유성구,3020011100,봉명동,3020061000,원신흥동,13
61,만년교(코젤병원),대전광역시 유성구 봉명동 328-22,36.3518705,127.3475384,30,대전광역시,30200,유성구,3020011100,봉명동,3020053000,온천1동,16
62,도안휴먼시아1단지,대전광역시 유성구 봉명동 1024,36.3504847,127.3425075,30,대전광역시,30200,유성구,3020011100,봉명동,3020061000,원신흥동,10
63,상대초등학교,대전광역시 유성구 상대동 138-67,36.3482054,127.3358087,30,대전광역시,30200,유성구,3020011500,상대동,3020061000,원신흥동,13
64,유성생명과학고등학교,대전광역시 유성구 상대동 425-9,36.346227,127.3310852,30,대전광역시,30200,유성구,3020011500,상대동,3020061000,원신흥동,13
65,도안 센트롤시티,대전광역시 유성구 봉명동 385-1,36.346488,127.344025,30,대전광역시,30200,유성구,3020011100,봉명동,3020053000,온천1동,15
66,도안 휴먼시아6단지,대전광역시 유성구 상대동 7-1,36.3455493,127.3401828,30,대전광역시,30200,유성구,3020011500,상대동,3020061000,원신흥동,11
