대여수,대여시간_합,이동거리_합,이동거리_평균,이동거리_최솟값,이동거리_중앙값,이동거리_최댓값
1715.0,3750210.0,3324890.0,1938.7113702623906,10.0,1640.0,5610.0
1264.0,3037904.0,2599330.0,2056.4319620253164,10.0,1750.0,5630.0
1145.0,1823058.0,2003900.0,1750.1310043668122,10.0,1360.0,5620.0
1241.0,1956149.0,2098610.0,1691.0636583400483,10.0,1340.0,5580.0
1288.0,2003760.0,2174080.0,1687.9503105590063,10.0,1270.0,5600.0
1391.0,2248857.0,2416000.0,1736.8799424874192,10.0,1360.0,5600.0
1418.0,2132581.0,2349160.0,1656.6713681241185,10.0,1310.0,5600.0
1535.0,3373815.0,2939970.0,1915.2899022801303,10.0,1520.0,5630.0
1521.0,3502300.0,3134220.0,2060.6311637080867,10.0,1750.0,5630.0
1291.0,1967976.0,2136760.0,1655.120061967467,10.0,1320.0,5600.0
807.0,1114133.0,1312970.0,1626.9764560099134,10.0,1270.0,5600.0
665.0,937288.0,1109840.0,1668.9323308270677,10.0,1280.0,5580.0
596.0,843334.0,962730.0,1615.3187919463087,10.0,1265.0,5500.0
897.0,1233496.0,1373080.0,1530.746934225195,10.0,1210.0,5630.0
1202.0,2374281.0,2356100.0,1960.1497504159734,10.0,1555.0,5580.0
566.0,1017570.0,971620.0,1716.643109540636,10.0,1325.0,5590.0
812.0,1139646.0,1310180.0,1613.5221674876848,10.0,1290.0,5560.0
821.0,1240922.0,1403290.0,1709.2448233861146,10.0,1320.0,5620.0
930.0,1477733.0,1604220.0,1724.967741935484,10.0,1355.0,5620.0
1008.0,1505064.0,1713420.0,1699.8214285714287,10.0,1300.0,5580.0
805.0,1121568.0,1277790.0,1587.3167701863354,10.0,1220.0,5620.0
675.0,1226952.0,1161950.0,1721.4074074074074,10.0,1300.0,5600.0
528.0,941249.0,931720.0,1764.621212121212,10.0,1315.0,5460.0
710.0,1086168.0,1191740.0,1678.5070422535211,10.0,1290.0,5540.0
727.0,1084711.0,1250910.0,1720.646492434663,10.0,1310.0,5430.0
746.0,1131478.0,1172810.0,1572.1313672922251,20.0,1220.0,5560.0
686.0,984334.0,1090410.0,1589.5189504373177,10.0,1250.0,5600.0
644.0,944987.0,1072130.0,1664.7981366459628,10.0,1305.0,5600.0
583.0,1147358.0,1055720.0,1810.8404802744426,10.0,1440.0,5610.0
700.0,1544090.0,1375500.0,1965.0,10.0,1665.0,5570.0
612.0,931455.0,1030900.0,1684.4771241830065,10.0,1340.0,5510.0
654.0,1038678.0,1135820.0,1736.7278287461775,10.0,1395.0,5620.0
675.0,1073654.0,1161690.0,1721.0222222222221,10.0,1340.0,5560.0
710.0,1187187.0,1268040.0,1785.9718309859154,10.0,1390.0,5600.0
813.0,1357328.0,1411750.0,1736.469864698647,10.0,1330.0,5500.0
729.0,1587644.0,1400310.0,1920.8641975308642,10.0,1570.0,5630.0
193.0,368256.0,333620.0,1728.60103626943,10.0,1370.0,5500.0
393.0,502169.0,563880.0,1434.8091603053435,10.0,1130.0,4870.0
377.0,524305.0,599930.0,1591.3262599469497,30.0,1250.0,5500.0
382.0,565017.0,621460.0,1626.8586387434555,10.0,1260.0,5540.0
430.0,588904.0,673910.0,1567.2325581395348,10.0,1190.0,5570.0
