번호,대여소명,거치대_수,구,주소,위도,경도,구역,인터넷,CCTV,거치대_종류,구조
62,도안휴먼시아1단지,10,유성구,봉명동 1024,36.3503,127.341,3구역,\N,\N,평면,일자형
63,상대초등학교,13,유성구,상대동 138-67,36.3484,127.336,3구역,\N,2,평면,십일자
64,유성생명과학고등학교,13,유성구,상대동 425-9,36.3483,127.331,3구역,\N,2,평면,일자형
65,도안 센트롤시티,15,유성구,봉명동 385-1,36.3488,127.344,3구역,\N,2,평면,일자형
66,도안 휴먼시아6단지,11,유성구,상대동 7-1,36.3457,127.34,3구역,\N,\N,평면,일자형
67,도안 한라비발디,15,유성구,상대동 173,36.3449,127.336,3구역,\N,\N,평면,일자형
68,도안 신안인스빌리베라,13,유성구,원신흥동 204-8,36.3419,127.345,3구역,\N,1,평면,일자형
69,도안 트리풀시티9단지(504동 맞은편),13,유성구,상대동 72-5,36.3428,127.337,3구역,\N,\N,평면,일자형
70,도안 휴먼시아10단지,14,유성구,원신흥동 183-2,36.338,127.338,3구역,\N,1,평면,십일자
71,대전지방국세청,12,대덕구,법동 186,36.3715,127.429,6구역,\N,1,평면,일자형
72,대전동부경찰서,12,대덕구,법동 212,36.3702,127.429,6구역,\N,\N,평면,일자형
